publication_number,speech,vision,nlp,kr,evo,ml,planning,hardware,comments,examiner_id
US-8340055-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6596663-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018095880-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4058167-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6732499-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6194175-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2012098486-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8501007-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5708093-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016020878-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5680475-A,not_AI,AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2012190851-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016212555-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011017764-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2015303738-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2011116351-A1,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,not_AI,Adaptive control (specficially gain setting),1
US-2010064932-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2012005145-A1,not_AI,not_AI,not_AI,AI,not_AI,AI,not_AI,not_AI,,1
US-2003063540-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2007123360-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4291776-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8630844-B1,not_AI,not_AI,AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013178378-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2010020075-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8676734-B2,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,AI,,1
US-9498331-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2008112329-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013181551-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5247031-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7816665-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5169959-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4661629-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-9787763-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-8673688-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014022144-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4374362-A,not_AI,not_AI,not_AI,not_AI,not_AI,AI,AI,not_AI,,1
US-6371159-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018331797-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014149119-A1,AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2002026313-A1,AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6958839-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-7467618-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2015058280-A1,not_AI,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-5828990-A,not_AI,not_AI,AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2010200221-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6273827-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018336266-A1,not_AI,not_AI,AI,AI,not_AI,AI,not_AI,not_AI,,1
US-5818846-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5715468-A,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2014076572-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5608491-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013253902-A1,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016049321-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,AI,not_AI,,1
US-9714688-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2010153532-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-6709972-B2,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2016048500-A1,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2008047755-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2017256038-A1,not_AI,AI,not_AI,not_AI,not_AI,AI,not_AI,not_AI,,1
US-2005203860-A1,not_AI,not_AI,not_AI,AI,not_AI,AI,not_AI,not_AI,,1
US-6245696-B1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-5508863-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018203748-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-4172970-A,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2007162865-A1,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
US-2013132327-A1,not_AI,not_AI,AI,AI,not_AI,not_AI,not_AI,not_AI,,1
US-2018293220-A1,not_AI,not_AI,AI,not_AI,not_AI,not_AI,not_AI,not_AI,,1
